age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
26.0,Private Non-Profit,Bachelor's degree,Never married,Market Research Analysts And Marketing Specialists,New York,Reference person,40.0,Female,White,False
59.0,Private For-Profit,Bachelor's degree,Married,Construction Managers,Maryland,Husband/wife,45.0,Male,White,True
36.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,"Inspectors, Testers, Sorters, Samplers, And Weighers",Iowa,Biological son or daughter,50.0,Female,White,False
45.0,Private For-Profit,Regular high school diploma,Widowed,,Pennsylvania,Reference person,50.0,Male,White,True
42.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Never married,,Tennessee,Reference person,40.0,M,White,False
62.0,Private For-Profit,"Some college, but less than 1 year",Divorced,Driver/Sales Workers And Truck Drivers,Minnesota,Other nonrelative,12.0,Male,White,False
51.0,State Government,Bachelor's degree,Married,First-Line Supervisors Of Office And Administrative Support Workers,Missouri,Husband/wife,40.0,m,White,False
23.0,Private For-Profit,"Some college, but less than 1 year",Never married,Coaches and Scouts,Texas,Reference person,40.0,Female,White,False
56.0,Private For-Profit,"some college, but less than 1 year",Married,Janitors And Building Cleaners,Wisconsin,Husband/wife,45.0,Female,White,False
,Self-Employed (Not Inc.),Bachelor's degree,Married,"Wholesale And Retail Buyers, Except Farm Products","United Kingdom, Not Specified",Reference person,40.0,Female,White,False
23.0,Private For-Profit,Associate's degree,Married,,North Carolina,Husband/wife,45.0,Female,White,True
30.0,Private For-Profit,Associate's degree,Never married,Data Entry Keyers,Massachusetts,Reference person,45.0,Female,White,False
22.0,Private For-Profit,GED or alternative credential,never married,Cooks,Tennessee,Grandchild,30.0,Male,White,False
34.0,Private For-Profit,Regular high school diploma,Never married,Pharmacy Technicians,Pennsylvania,Reference person,40.0,Female,White,False
27.0,Private Non-Profit,Bachelor's degree,NEVER MARRIED,,New York,Reference person,40.0,F,Two or More Race,False
32.0,Private For-Profit,bachelor's degree,Married,Human Resources Workers,congo,Reference person,40.0,Female,Black,True
37.0,Self-Employed (Not Inc.),Grade 8,Married,Agricultural Workers,Pennsylvania,Reference person,60.0,Male,White,True
44.0,Private For-Profit,"One or more years of college credit, no degree",Married,Billing And Posting Clerks,Michigan,Reference person,40.0,Female,White,False
47.0,State Government,Regular high school diploma,Married,"First-Line Supervisors of Security And Protective Service Workers, All Other",florida,Reference person,40.0,Male,Black,False
58.0,Private For-Profit,GED or alternative credential,widowed,Driver/Sales Workers And Truck Drivers,Wisconsin,Brother or sister,70.0,M,Black,False
64.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Divorced,Home Health Aides,North Carolina,Reference person,21.0,Female,White,True
63.0,State Government,master's degree,Married,Word Processors And Typists,Arizona,Husband/wife,33.0,Female,White,False
20.0,,GED OR ALTERNATIVE CREDENTIAL,Never married,Personal Care Aides,washington,Reference person,31.0,Female,White,False
24.0,Local Government,Bachelor's degree,Never married,Project Management Specialists,California,Reference person,40.0,Female,White,False
37.0,,Bachelor's degree,Married,Supervisors Of Transportation And Material Moving Workers,Utah,Reference person,40.0,Male,White,False
37.0,Private For-Profit,ASSOCIATE'S DEGREE,Married,First-Line Supervisors Of Retail Sales Workers,Georgia,Reference person,50.0,Male,White,True
,Self-Employed (Inc.),Bachelor's degree,Married,Mechanical Engineers,CANADA,Reference person,40.0,Male,White,False
59.0,Private Non-Profit,Regular high school diploma,Married,"Bookkeeping, Accounting, And Auditing Clerks",New York,Reference person,,Female,White,True
999.0,Self-Employed (Not Inc.),associate's degree,Never married,Animal Caretakers,CONNECTICUT,Reference person,-10.0,Female,White,False
42.0,Private For-Profit,BACHELOR'S DEGREE,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",District of Columbia,Husband/wife,40.0,Female,White,False
59.0,,Bachelor's degree,Married,Construction Managers,North Carolina,Husband/wife,50.0,Male,White,False
28.0,Private For-Profit,associate's degree,Never married,Elementary And Middle School Teachers,us virgin islands,Reference person,30.0,Female,Black,False
23.0,Private For-Profit,Regular high school diploma,Never married,,Massachusetts,Biological son or daughter,35.0,Male,White,False
59.0,Private For-Profit,Regular high school diploma,Married,Electricians,Ohio,Reference person,40.0,Male,White,True
46.0,Private For-Profit,Bachelor's degree,Married,"Sales Representatives, Wholesale And Manufacturing",Pennsylvania,Reference person,200.0,Male,White,False
74.0,Private For-Profit,"One or more years of college credit, no degree",Widowed,Cashiers,Colorado,Reference person,30.0,F,White,False
24.0,Federal Government,Bachelor's degree,Never married,Computer Hardware Engineers,Ohio,Reference person,40.0,Male,White,True
43.0,Private For-Profit,MASTER'S DEGREE,Married,Managers,Michigan,Husband/wife,50.0,Female,White,True
19.0,Private Non-Profit,Regular high school diploma,Never married,Residential Advisors,New Jersey,Noninstitutionalized group quarters population,20.0,Female,Asian,False
60.0,Self-Employed (Not Inc.),Master's degree,Married,"Farmers, Ranchers, And Agricultural Managers",Minnesota,Reference person,,Male,White,True
35.0,Private For-Profit,Associate's degree,Married,Construction Laborers,New York,Reference person,40.0,M,wht,True
,Private For-Profit,Bachelor's degree,Never married,Computer Programmers,Ohio,Reference person,45.0,Female,White,True
32.0,Private For-Profit,"One or more years of college credit, no degree",Married,General And Operations Managers,Texas,Reference person,50.0,Male,White,True
62.0,Local Government,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Production And Operating Workers,Tennessee,Reference person,40.0,M,White,True
33.0,Self-Employed (Inc.),"One or more years of college credit, no degree",Married,,North Carolina,Reference person,45.0,Female,White,False
46.0,Private For-Profit,Associate's degree,Married,Miscellaneous Health Technologists and Technicians,Illinois,Husband/wife,40.0,Female,Black,False
32.0,Private For-Profit,Regular high school diploma,Married,Electricians,Ohio,Reference person,40.0,Male,White,False
48.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,Janitors And Building Cleaners,Colombia,Reference person,20.0,Female,Other Race,False
44.0,Private For-Profit,Master's degree,Married,Software Developers,Iran,Reference person,200.0,Male,White,True
20.0,Private For-Profit,regular high school diploma,NEVER MARRIED,Dishwashers,Pennsylvania,Stepson or stepdaughter,16.0,Male,Black,False
42.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Married,Physicians,massachusetts,Reference person,60.0,Male,White,True
43.0,Self-Employed (Inc.),Associate's degree,Married,"Hairdressers, Hairstylists, And Cosmetologists",KENTUCKY,Husband/wife,50.0,fem,wht,False
43.0,Self-Employed (Not Inc.),Bachelor's degree,Divorced,Maids And Housekeeping Cleaners,Puerto Rico,Reference person,20.0,Female,White,False
45.0,Private For-Profit,Associate's degree,Married,Credit Counselors And Loan Officers,Tennessee,Reference person,45.0,Female,White,True
38.0,Private For-Profit,"12th grade, no diploma",Married,Food Preparation Workers,mexico,Reference person,25.0,Male,White,False
37.0,Self-Employed (Inc.),Regular high school diploma,Married,Janitors And Building Cleaners,Tennessee,Husband/wife,40.0,Female,wht,False
56.0,State Government,Master's degree,Separated,Psychiatric Technicians,MISSISSIPPI,Reference person,40.0,Female,Black,True
28.0,Private For-Profit,Regular high school diploma,Never married,Childcare Workers,New York,Reference person,40.0,Female,White,False
32.0,Private For-Profit,Bachelor's degree,Married,General And Operations Managers,Indiana,Husband/wife,,Male,wht,True
,Private For-Profit,doctorate degree,Married,Postsecondary Teachers,California,Husband/wife,30.0,Male,White,False
26.0,State Government,Regular high school diploma,Never married,"Sawing Machine Setters, Operators, And Tenders, Wood",California,Noninstitutionalized group quarters population,40.0,Female,Two or More Race,False
19.0,Private Non-Profit,Regular high school diploma,Never married,Retail Salespersons,Missouri,Biological son or daughter,25.0,Male,White,False
47.0,Private For-Profit,GED or alternative credential,Married,First-Line Supervisors Of Production And Operating Workers,Washington,Reference person,,Male,wht,True
22.0,Private For-Profit,"Some college, but less than 1 year",Never married,Occupational Health And Safety Specialists and Technicians,Wyoming,Noninstitutionalized group quarters population,48.0,Male,White,False
61.0,Private For-Profit,No schooling completed,Married,"Laborers And Freight, Stock, And Material Movers, Hand",Mexico,Reference person,40.0,Male,White,False
32.0,Private Non-Profit,bachelor's degree,Married,Fundraisers,Michigan,Husband/wife,,Female,White,True
24.0,Private For-Profit,Regular high school diploma,Never married,Assemblers And Fabricators,Michigan,Reference person,40.0,Female,Black,False
59.0,Private Non-Profit,"One or more years of college credit, no degree",Married,Teaching Assistants,California,Husband/wife,40.0,Female,wht,False
63.0,Private For-Profit,Bachelor's degree,Married,,Arkansas,reference person,60.0,Male,White,False
40.0,Private For-Profit,GED or alternative credential,Married,First-Line Supervisors Of Production And Operating Workers,Tennessee,Husband/wife,40.0,Male,White,False
19.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Cashiers,Alabama,Noninstitutionalized group quarters population,30.0,Female,White,False
44.0,Private For-Profit,Master's degree,Married,Marketing Managers,New Jersey,Husband/wife,50.0,Male,White,True
23.0,Private For-Profit,Grade 6,Married,Cooks,Guatemala,Reference person,30.0,Female,Other Race,False
39.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Landscaping And Groundskeeping Workers,NORTH CAROLINA,Reference person,45.0,M,Black,False
32.0,Private For-Profit,"One or more years of college credit, no degree",Married,Paralegals And Legal Assistants,New Jersey,Reference person,40.0,Female,White,False
59.0,Private For-Profit,Regular high school diploma,Married,Industrial Production Managers,Indiana,Reference person,45.0,Male,White,True
24.0,Self-Employed (Not Inc.),Regular high school diploma,Married,Animal Caretakers,Utah,Husband/wife,15.0,Male,wht,False
,Private For-Profit,bachelor's degree,Married,Security Guards And Gaming Surveillance Officers,Ohio,Reference person,24.0,Male,White,True
59.0,Private For-Profit,MASTER'S DEGREE,married,"Securities, Commodities, And Financial Services Sales Agents",Alabama,Reference person,40.0,Male,White,True
36.0,Private For-Profit,Master's degree,Married,Mechanical Engineers,Japan,Reference person,70.0,male,Asian,True
57.0,Self-Employed (Not Inc.),Regular high school diploma,Married,Personal Care Aides,Mississippi,Reference person,40.0,Female,Black,False
19.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Never married,Cashiers,Connecticut,biological son or daughter,20.0,Male,Black,False
60.0,Without Pay,professional degree beyond a bachelor's degree,MARRIED,Dentists,New Jersey,Husband/wife,40.0,Male,White,True
36.0,Private For-Profit,Grade 9,Married,Driver/Sales Workers And Truck Drivers,California,husband/wife,62.0,Male,White,False
54.0,Private For-Profit,"Some college, but less than 1 year",Married,Assemblers And Fabricators,louisiana,reference person,40.0,Male,blk,False
26.0,Private For-Profit,"Some college, but less than 1 year",Never married,Chefs And Head Cooks,CALIFORNIA,Housemate or roommate,32.0,Male,Other Race,False
21.0,State Government,REGULAR HIGH SCHOOL DIPLOMA,Never married,Receptionists And Information Clerks,FLORIDA,Noninstitutionalized group quarters population,37.0,Female,Black,False
17.0,Private For-Profit,Grade 10,Never married,Retail Salespersons,Maryland,Biological son or daughter,8.0,Female,White,False
54.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,"Welding, Soldering, And Brazing Workers",Iowa,Husband/wife,200.0,Male,White,True
31.0,Federal Government,bachelor's degree,Married,Police Officers,TEXAS,Reference person,45.0,Male,White,True
53.0,Private For-Profit,bachelor's degree,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",CALIFORNIA,Husband/wife,40.0,Female,White,True
38.0,Private For-Profit,Regular high school diploma,Married,Chefs And Head Cooks,China,Biological son or daughter,60.0,Male,Asian,False
27.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Stockers And Order Fillers,California,Housemate or roommate,45.0,Male,Black,False
34.0,Local Government,Regular high school diploma,Married,Teaching Assistants,EL SALVADOR,Reference person,200.0,Female,White,False
32.0,Private For-Profit,Bachelor's degree,NEVER MARRIED,Engineers,maryland,Reference person,40.0,Male,Black,True
47.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,"Heating, Air Conditioning, And Refrigeration Mechanics And Installers",Alabama,Husband/wife,40.0,Male,White,True
61.0,Federal Government,associate's degree,Married,"Business Operations Specialists, All Other",Louisiana,Reference person,40.0,fem,White,True
55.0,Private For-Profit,GED or alternative credential,Married,"Shipping, Receiving, And Inventory Clerks",NORTH CAROLINA,Husband/wife,50.0,Male,White,False
18.0,Private For-Profit,Grade 11,Never married,Teachers and Instructors,Florida,Adopted son or daughter,8.0,Female,White,False
58.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Widowed,Billing And Posting Clerks,PENNSYLVANIA,Unmarried partner,50.0,Female,White,False
41.0,Private For-Profit,Regular high school diploma,Married,Pharmacy Technicians,Philippines,Reference person,40.0,Female,Asian,False
20.0,,"One or more years of college credit, no degree",Never married,Waiters And Waitresses,arizona,Biological son or daughter,24.0,Female,White,False
73.0,,Doctorate degree,Divorced,Postsecondary Teachers,Ohio,Reference person,60.0,m,White,True
23.0,,"Some college, but less than 1 year",never married,Cashiers,Ohio,Biological son or daughter,40.0,Male,White,False
34.0,Private For-Profit,Regular high school diploma,Divorced,Customer Service Representatives,Maryland,unmarried partner,40.0,Female,White,False
59.0,,Master's degree,Married,Chemical Engineers,China,Reference person,40.0,M,Asian,True
58.0,Local Government,"One or more years of college credit, no degree",Married,Elementary And Middle School Teachers,South Carolina,Husband/wife,30.0,Female,White,False
31.0,Self-Employed (Not Inc.),Bachelor's degree,Never married,Teachers and Instructors,New York,Reference person,65.0,Male,White,True
58.0,State Government,Professional degree beyond a bachelor's degree,Married,Managers,New York,Reference person,-10.0,Male,Other Race,True
40.0,Private For-Profit,bachelor's degree,Married,Aerospace Engineers,Ohio,Husband/wife,35.0,fem,White,True
22.0,Private For-Profit,Associate's degree,NEVER MARRIED,Dining Room And Cafeteria Attendants And Bartender Helpers,California,Biological son or daughter,4.0,Male,Two or More Race,False
26.0,Private For-Profit,Regular high school diploma,Never married,Social And Human Service Assistants,New York,Grandchild,38.0,Female,White,False
50.0,Private For-Profit,Regular high school diploma,Never married,Driver/Sales Workers And Truck Drivers,Ohio,reference person,40.0,Male,White,False
59.0,Private For-Profit,Regular high school diploma,Married,"Shipping, Receiving, And Inventory Clerks",North Dakota,husband/wife,40.0,Male,White,False
30.0,Private Non-Profit,Master's degree,Married,Agricultural Workers,mexico,Reference person,50.0,Female,Other Race,False
43.0,Private For-Profit,Grade 11,Never married,First-Line Supervisors Of Food Preparation And Serving Workers,Ohio,Biological son or daughter,32.0,Female,Black,False
55.0,Private For-Profit,Regular high school diploma,Divorced,"Laborers And Freight, Stock, And Material Movers, Hand",california,reference person,40.0,Male,White,False
59.0,Private Non-Profit,Doctorate degree,Married,Mental Health Counselors,South Dakota,Reference person,40.0,Male,White,True
67.0,Private For-Profit,Regular high school diploma,Married,Janitors And Building Cleaners,Ohio,Husband/wife,10.0,Male,White,True
36.0,Private For-Profit,"one or more years of college credit, no degree",Divorced,Nursing Assistants,NEW YORK,reference person,40.0,Female,Black,False
36.0,Private Non-Profit,MASTER'S DEGREE,Married,Janitors And Building Cleaners,Oregon,Husband/wife,3.0,Female,White,False
35.0,Private Non-Profit,Grade 1,Never married,Landscaping And Groundskeeping Workers,Guatemala,Reference person,45.0,Male,Other Race,False
43.0,Private For-Profit,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Office And Administrative Support Workers,Louisiana,Reference person,84.0,Male,White,True
55.0,Self-Employed (Not Inc.),Associate's degree,Never married,Postal Service Mail Carriers,Minnesota,Unmarried partner,40.0,fem,wht,False
65.0,Private For-Profit,Associate's degree,Married,,Dominican Republic,Reference person,40.0,Female,White,True
24.0,Private For-Profit,"Some college, but less than 1 year",Never married,Electricians,Ohio,Biological son or daughter,40.0,Male,White,False
22.0,Private For-Profit,regular high school diploma,Never married,Retail Salespersons,illinois,biological son or daughter,32.0,Female,Black,False
22.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Tree Trimmers and Pruners,texas,Biological son or daughter,40.0,Male,Black,False
999.0,Private Non-Profit,Bachelor's degree,Separated,Managers,Pennsylvania,Noninstitutionalized group quarters population,60.0,Female,White,False
40.0,Private For-Profit,Bachelor's degree,Married,Executive Secretaries And Executive Administrative Assistants,Connecticut,Husband/wife,15.0,Female,White,False
61.0,Self-Employed (Inc.),"One or more years of college credit, no degree",Married,Property Appraisers and Assessors,Utah,Reference person,40.0,Male,White,False
48.0,Private For-Profit,Regular high school diploma,Married,,Texas,Husband/wife,40.0,Male,White,False
52.0,Private For-Profit,bachelor's degree,Married,General And Operations Managers,Texas,Reference person,60.0,Male,White,True
36.0,Private For-Profit,Bachelor's degree,Never married,Registered Nurses,Massachusetts,Biological son or daughter,38.0,Female,White,True
39.0,Private For-Profit,"one or more years of college credit, no degree",Married,"Plumbers, Pipefitters, And Steamfitters",michigan,reference person,40.0,Male,White,False
33.0,Private Non-Profit,"some college, but less than 1 year",Married,Personal Care Aides,Bolivia,reference person,40.0,Female,Other Race,False
53.0,Self-Employed (Not Inc.),Regular high school diploma,Divorced,Unknown,CALIFORNIA,Unmarried partner,45.0,Male,White,False
40.0,Private For-Profit,Regular high school diploma,divorced,Maids And Housekeeping Cleaners,Yugoslavia,Reference person,30.0,fem,White,False
18.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Nursing Assistants,New Jersey,Noninstitutionalized group quarters population,20.0,F,White,False
51.0,Private For-Profit,Regular high school diploma,Married,Construction Laborers,Mexico,Father or mother,40.0,Male,White,False
43.0,Private For-Profit,Associate's degree,Married,"Transportation, Storage, And Distribution Managers",Tennessee,Husband/wife,40.0,Male,White,True
49.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,"Plumbers, Pipefitters, And Steamfitters",california,Reference person,43.0,Male,White,False
34.0,Local Government,Master's degree,Married,Elementary And Middle School Teachers,Illinois,Husband/wife,45.0,Male,White,True
38.0,Private For-Profit,Master's degree,Married,Designers,Washington,Husband/wife,45.0,Male,White,True
50.0,State Government,Associate's degree,Divorced,Licensed Practical And Licensed Vocational Nurses,ILLINOIS,Other nonrelative,40.0,Female,White,False
47.0,,PROFESSIONAL DEGREE BEYOND A BACHELOR'S DEGREE,Married,"Title Examiners, Abstractors, and Searchers",ILLINOIS,Reference person,50.0,Male,White,True
57.0,Private For-Profit,Regular high school diploma,Married,Electricians,Ohio,Husband/wife,40.0,Male,White,True
46.0,Private For-Profit,Bachelor's degree,Married,Industrial Production Managers,Colombia,Reference person,40.0,Male,White,True
57.0,Private For-Profit,Regular high school diploma,Married,Construction Equipment Operators,michigan,Reference person,45.0,Male,White,False
28.0,Private For-Profit,regular high school diploma,Married,Machinists,Mississippi,Husband/wife,40.0,Male,White,True
,Federal Government,Bachelor's degree,Never married,"Maintenance And Repair Workers, General",Michigan,Reference person,48.0,Male,White,True
26.0,Self-Employed (Inc.),Associate's degree,Never married,Customer Service Representatives,California,Reference person,,Female,Other Race,False
56.0,Self-Employed (Inc.),regular high school diploma,Divorced,First-Line Supervisors Of Construction Trades And Extraction Workers,Pennsylvania,Unmarried partner,60.0,Male,White,True
20.0,Without Pay,"One or more years of college credit, no degree",Never married,"Laborers And Freight, Stock, And Material Movers, Hand",Pennsylvania,Reference person,45.0,Female,White,False
30.0,Private For-Profit,Bachelor's degree,Never married,Customer Service Representatives,New York,Reference person,50.0,Female,White,True
51.0,Private Non-Profit,bachelor's degree,Never married,"Sales Representatives, Wholesale And Manufacturing",Puerto Rico,Roomer or boarder,40.0,Male,White,False
33.0,Private For-Profit,Bachelor's degree,Never married,Electrical And Electronics Engineers,California,Unmarried partner,40.0,Male,Asian,True
56.0,Private For-Profit,"One or more years of college credit, no degree",Separated,Home Health Aides,Texas,Reference person,11.0,Female,White,False
64.0,Private Non-Profit,Regular high school diploma,Divorced,"Bus Drivers, Transit And Intercity",North Dakota,Reference person,20.0,Male,White,True
29.0,Private For-Profit,bachelor's degree,Never married,Marketing Managers,Nevada,Other nonrelative,40.0,M,White,False
25.0,Private Non-Profit,"Some college, but less than 1 year",Never married,Personal Care Aides,Armenia,other relative,40.0,Female,White,False
30.0,Private For-Profit,Master's degree,Married,Marriage And Family Therapists,california,Reference person,40.0,Male,White,True
36.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,,Illinois,reference person,40.0,Male,White,False
46.0,Local Government,Bachelor's degree,Married,Managers,Michigan,Reference person,40.0,Female,Black,True
65.0,Private For-Profit,Regular high school diploma,Married,Retail Salespersons,COLORADO,Husband/wife,40.0,Male,White,True
51.0,Private For-Profit,Regular high school diploma,Never married,"Title Examiners, Abstractors, and Searchers",New Jersey,Biological son or daughter,40.0,Female,White,False
52.0,Private Non-Profit,MASTER'S DEGREE,Never married,Accountants And Auditors,Utah,Biological son or daughter,40.0,Male,White,False
39.0,Private For-Profit,Grade 9,Never married,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Texas,Institutionalized group quarters population,60.0,M,White,False
31.0,Federal Government,ASSOCIATE'S DEGREE,Never married,"Military, Rank Not Specified",Pennsylvania,Reference person,40.0,Male,White,False
42.0,Private For-Profit,Regular high school diploma,Married,Cooks,Oklahoma,Son-in-law or daughter-in-law,36.0,Male,White,False
68.0,Private For-Profit,Grade 9,Divorced,Retail Salespersons,PUERTO RICO,Reference person,38.0,F,Black,False
59.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,Waiters And Waitresses,MAINE,Unmarried partner,30.0,Female,White,False
59.0,Private For-Profit,Associate's degree,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",CALIFORNIA,Husband/wife,37.0,Female,White,False
26.0,Private For-Profit,Grade 10,married,Cashiers,California,brother or sister,40.0,Male,White,True
18.0,,Regular high school diploma,Never married,,New York,Other relative,40.0,Male,White,False
30.0,Private For-Profit,Bachelor's degree,Never married,Elementary And Middle School Teachers,California,Reference person,40.0,Female,White,False
18.0,Private For-Profit,Grade 11,NEVER MARRIED,Dining Room And Cafeteria Attendants And Bartender Helpers,Oklahoma,Stepson or stepdaughter,24.0,Male,American Indian,False
45.0,State Government,"One or more years of college credit, no degree",Divorced,First-Line Supervisors Of Retail Sales Workers,New Jersey,Reference person,40.0,Male,White,False
28.0,Private For-Profit,Bachelor's degree,Never married,Market Research Analysts And Marketing Specialists,Massachusetts,Biological son or daughter,50.0,Male,White,True
58.0,Private For-Profit,Regular high school diploma,Married,Customer Service Representatives,Vietnam,reference person,20.0,Male,Asian,False
18.0,Private For-Profit,Regular high school diploma,Never married,Retail Salespersons,new york,Biological son or daughter,19.0,Male,Black,False
32.0,Private Non-Profit,Master's degree,Married,Managers,Washington,Husband/wife,40.0,Male,White,True
61.0,Local Government,Regular high school diploma,DIVORCED,,New Jersey,Reference person,40.0,Male,White,False
41.0,Local Government,Professional degree beyond a bachelor's degree,Married,Librarians And Media Collections Specialists,Philippines,Reference person,40.0,Female,Two or More Race,True
30.0,Private For-Profit,associate's degree,Never married,Payroll And Timekeeping Clerks,Texas,Biological son or daughter,50.0,Male,White,False
48.0,Private For-Profit,Associate's degree,Married,Human Resources Managers,Ohio,Reference person,45.0,Male,White,True
66.0,Private For-Profit,Associate's degree,Married,Mechanical Engineers,michigan,reference person,16.0,Male,White,False
61.0,Private For-Profit,Bachelor's degree,Married,Cashiers,Minnesota,husband/wife,38.0,Female,White,False
33.0,Private For-Profit,Regular high school diploma,Married,Insurance Underwriters,California,Reference person,40.0,fem,Other Race,False
18.0,Private For-Profit,"12th grade, no diploma",Never married,"Laborers And Freight, Stock, And Material Movers, Hand",puerto rico,Other nonrelative,8.0,Male,Other Race,False
22.0,Private For-Profit,"one or more years of college credit, no degree",Never married,First-Line Supervisors Of Retail Sales Workers,Florida,Biological son or daughter,25.0,Female,White,False
51.0,Private For-Profit,MASTER'S DEGREE,Married,Architectural And Engineering Managers,California,Reference person,40.0,Male,White,True
17.0,Private For-Profit,Grade 9,NEVER MARRIED,Fast Food And Counter Workers,TEXAS,Biological son or daughter,16.0,Male,Black,False
35.0,Private For-Profit,"some college, but less than 1 year",Never married,,North Carolina,reference person,40.0,Female,White,False
32.0,Private For-Profit,Bachelor's degree,Never married,,Nevada,Unmarried partner,40.0,Male,Black,False
63.0,Private For-Profit,Associate's degree,Married,First-Line Supervisors Of Office And Administrative Support Workers,Kentucky,Reference person,45.0,Male,White,True
22.0,Private Non-Profit,"Some college, but less than 1 year",Never married,Protective Service Workers,Ohio,Biological son or daughter,40.0,Male,White,False
54.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,Unknown,PENNSYLVANIA,Reference person,50.0,Male,White,True
21.0,Private For-Profit,Associate's degree,Never married,Stockers And Order Fillers,Missouri,Stepson or stepdaughter,30.0,Female,White,False
24.0,,Bachelor's degree,Never married,Managers,Georgia,Biological son or daughter,60.0,Male,White,False
64.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,Customer Service Representatives,Georgia,Reference person,40.0,Male,Black,True
28.0,Private For-Profit,GED or alternative credential,Married,"Heating, Air Conditioning, And Refrigeration Mechanics And Installers",New York,Son-in-law or daughter-in-law,48.0,Male,White,False
40.0,State Government,Master's degree,Never married,Conservation Scientists And Foresters,Missouri,reference person,40.0,Male,White,False
43.0,Private For-Profit,"Some college, but less than 1 year",Married,,Virginia/VA,Reference person,45.0,Male,White,True
19.0,Private Non-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Childcare Workers,South Carolina,Noninstitutionalized group quarters population,10.0,Female,White,False
47.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,First-Line Supervisors Of Retail Sales Workers,IOWA,reference person,40.0,Female,wht,False
32.0,Private Non-Profit,Bachelor's degree,Married,Social And Community Service Managers,OKLAHOMA,Reference person,50.0,Female,White,True
25.0,Local Government,Bachelor's degree,Never married,Secondary School Teachers,Jordan,Biological son or daughter,35.0,Female,wht,False
27.0,Private Non-Profit,Bachelor's degree,married,,Louisiana,Husband/wife,60.0,Male,White,False
23.0,Private For-Profit,Grade 11,Never married,Home Health Aides,Missouri,unmarried partner,15.0,Male,White,False
24.0,Private For-Profit,Associate's degree,Never married,Food Preparation Workers,Illinois,Reference person,16.0,Female,White,False
51.0,Federal Government,Master's degree,Married,Postal Service Mail Carriers,Turkey,husband/wife,50.0,Male,White,True
25.0,Private For-Profit,Bachelor's degree,Never married,Correspondence Clerks And Order Clerks,New York,Biological son or daughter,40.0,Male,White,False
29.0,Private For-Profit,Regular high school diploma,Never married,Bartenders,New York,Reference person,40.0,male,White,False
73.0,Private For-Profit,Professional degree beyond a bachelor's degree,Married,Registered Nurses,massachusetts,Husband/wife,60.0,fem,White,True
67.0,Private For-Profit,Bachelor's degree,Married,Unknown,New York,reference person,40.0,Male,White,True
,,Master's degree,Married,"Religious Workers, All Other",Louisiana,Husband/wife,40.0,Male,White,True
38.0,Local Government,Bachelor's degree,Married,Firefighters,Texas,Husband/wife,48.0,Male,White,True
19.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Nursing Assistants,Minnesota,Noninstitutionalized group quarters population,20.0,Female,White,False
45.0,Private For-Profit,BACHELOR'S DEGREE,Married,Postal Service Clerks,Michigan,Husband/wife,40.0,Female,wht,False
67.0,Private For-Profit,bachelor's degree,Divorced,"Personal Care and Service Workers, All Other",California,Reference person,30.0,Female,White,False
,,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,Teaching Assistants,New York,Reference person,40.0,Female,White,True
27.0,State Government,Associate's degree,Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Florida,husband/wife,40.0,fem,White,False
,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Never married,Carpenters,Mexico,biological son or daughter,50.0,M,White,False
38.0,Local Government,ASSOCIATE'S DEGREE,Divorced,Personal Care Aides,Trinidad & Tobago,Brother or sister,70.0,Female,Asian,False
